galaxyID,timestep,t,z,M_star,R_halflight_s,R_halflight_c,R_halfmass,sigma_star,sigma_youngstar,log_sigma_pred_10,log_sigma_pred_100,sigma_star_m,sigma_youngstar_m,sigma_coldgas_m,SFR_10,SFR_100,sSFR_10,sSFR_100
468,004096,13.80082045752843,3.06575407998577e-12,2051070123.5198758,1.0172013806931168,0.8420398291990314,1.1444091796875,63.91042407057831,63.886116716549154,1.4886521592417967,1.484431942489986,78.31775601076487,71.6670735893643,79.9372904188254,3255975.9049334633,31139831.38128826,-9.799299326269649,-9.818664252024535
468,004032,13.58545319195379,0.015091542063365071,2012326013.162366,14148.620715071756,11955.60903049352,14148.597717285156,62.47159519659349,62.687353444144364,1.4522300847859082,1.4819428813010866,75.79403410846515,72.65328525783748,83.70145287916019,2224824.6002597166,30458008.890275735,-9.956402563368421,-9.819996832214096
468,003936,13.262402293571096,0.03836862116173711,1935067659.8887517,13843.795968187518,11692.153085094411,13843.841552734375,62.97495852199586,63.88177968411056,1.5296857164034912,1.5167687630411322,77.4837222452649,76.47940650702081,95.43619018493858,5091367.421259792,44409595.25849162,-9.579861715520229,-9.63921933967707
468,003840,12.939351395187154,0.062455581909223554,1839333394.5227294,13538.04664423399,11429.451999390574,13538.093566894531,60.520918235339124,60.84769862938177,1.488645321625721,1.5136667221183897,75.56164622574518,64.71855662473888,90.59464813064803,3335696.408677783,43482542.01429016,-9.741473938496597,-9.626345530610884
468,003744,12.616300496817848,0.08740401176674857,1750909691.1962643,13238.484850226978,11175.401176422369,13238.506317138672,59.76953152044229,59.665100824390144,1.4631033544596075,1.514540142393393,73.91636512141403,74.42405985787177,81.98833691574413,2572679.2819307763,44396672.72142281,-9.832878097419064,-9.595913323096847
468,003648,12.29324959844681,0.1132705551193037,1670431712.3514857,12949.931620942387,10933.12720791048,12949.905395507812,58.58710396962809,58.73551212928285,1.4859421236178216,1.4815332514421367,73.60218404963327,71.15511996084182,79.06426139072623,3313583.803983195,31620049.782878704,-9.702530767449113,-9.722866176920888
468,003606,12.151914830406646,0.12489157758503663,1640718915.0089986,12821.621622389837,10825.374003166657,12821.693420410156,59.6440448332473,59.377557669880105,1.52548227239612,1.4978865968139683,74.10029228715135,70.15289553252569,83.91129758039305,5064795.461848444,37776558.296002336,-9.510472273504462,-9.637811796704979
468,003552,11.970198700071153,0.14011755621604216,1592973433.1389089,12661.499266173336,10691.700869488355,12661.514282226562,57.204128696212365,56.16828367209455,1.4912770098221106,1.474576611843329,72.55732875084496,64.98498495723777,77.19936980367189,3545955.3012529234,29690136.677943762,-9.65247527612769,-9.729596336036074
468,003456,11.647147801692624,0.16801380287283818,1530085708.3531475,12389.204080633459,10460.928802642025,12389.22119140625,55.05698743781091,54.976581422176956,1.5021469255677933,1.5163747396861502,71.03512567482889,60.030983845338376,102.89751658242801,4019065.551275055,46762196.6373801,-9.580590669048364,-9.514820854879126
468,003360,11.324096903303655,0.19703539000425044,1419947461.1530619,12104.44397918873,10219.92273589347,12104.530334472656,57.44922602194813,54.66500693377478,1.5797659117108485,1.5224290314523286,74.89830726896696,69.23600180643899,88.64467354800878,9364964.056831636,50810978.72442276,-9.180766160670611,-9.446314715142798
468,003264,11.00104600494088,0.22726672631784067,1326694599.8566647,11828.73334049029,9990.299050449457,11828.727722167969,53.852894661781946,50.74953645658647,1.4858476435516494,1.5112967360876934,69.75274144391537,68.11396685464514,85.67822944787441,3497198.468129901,45897371.34471874,-9.57905068191784,-9.460983148264237
468,003195,10.768853171744883,0.2497948822517781,1253454838.1556642,11623.089484488253,9820.70142846329,11623.039245605469,52.04738233250846,49.50758604830551,1.484482177013695,1.5116186339739888,68.47666435580561,70.59216183173312,87.67565049428418,3495262.4462337564,46725868.046777524,-9.554628900131691,-9.428551312788853
468,003168,10.677995106574821,0.2588017129222395,1222804905.1579998,11540.30103770609,9750.082053889986,11540.145874023438,56.032583027646126,48.62731915655958,1.5569562328866975,1.518598302795753,72.09402590661632,64.97593643354546,83.32962862996527,7640033.87210175,50672208.12847138,-9.204261888160662,-9.382587342355118
468,003072,10.354944208208057,0.29174512938485825,1108198783.0899112,11243.678649646594,9496.58586073589,11243.667602539062,51.596087252367624,47.497262004912145,1.498639875676293,1.5160016547979571,68.37485163782519,67.08639086031073,77.212596648994,4197478.5701185055,50571487.16610644,-9.42162918136555,-9.340711943719217
468,002976,10.031893309836546,0.32621427157722227,999198496.8484004,13713.786366176122,11875.882539408536,13713.68408203125,51.41759264851135,45.61214191094159,1.4979691044182553,1.5089176521229237,67.81832932552165,70.56666142010788,75.85858520788669,4282766.021465212,48182223.21774173,-9.367927423613551,-9.316764936749536
468,002880,9.708842411466357,0.3623408968454461,902846385.8163704,13414.235579359836,11614.668786456092,13414.382934570312,50.85392385778169,43.686743448914974,1.4400421549499083,1.46975262198058,65.39638456872623,66.92181071647946,68.49329507467681,2356340.857642291,32466528.18257302,-9.583375750119457,-9.444178014155094
