galaxyID,timestep,t,z,M_star,R_halflight_s,R_halflight_c,R_halfmass,sigma_star,sigma_youngstar,log_sigma_pred_10,log_sigma_pred_100,sigma_star_m,sigma_youngstar_m,SFR_10,SFR_100,sSFR_10,sSFR_100
468,004096,13.800820457528431,3.066110004810066e-12,2051070123.5198758,1.0172013806931643,0.8420398291986742,1.171875,63.91042320050568,63.886116621384915,1.4886521592417967,1.484431942489986,78.3177560107649,71.66707358936432,3255975.9049334633,31139831.38128826,-9.799299326269649,-9.818664252024535
468,004032,13.585453191953793,0.015091542063365026,2012326013.162366,14148.620715071756,11955.60903049352,-1,62.471595380736346,62.68735343261623,1.4522300847859082,1.4819428813010866,75.79403410846515,72.65328525783748,2224824.6002597166,30458008.890275735,-9.956402563368421,-9.819996832214096
468,003936,13.262402293571098,0.038368621161737164,1935067659.8887517,13843.795968187518,11692.153085094411,-1,62.97495852200521,63.88177968411056,1.5296857164034912,1.5167687630411322,77.4837222452649,76.47940650702081,5091367.421259792,44409595.25849162,-9.579861715520229,-9.63921933967707
468,003840,12.939351395187158,0.06245558190922332,1839333394.5227294,13538.04664423399,11429.451999390574,-1,60.52091823940937,60.847698659044404,1.488645321625721,1.5136667221183897,75.56164622574518,64.71855662473888,3335696.408677783,43482542.01429016,-9.741473938496597,-9.626345530610884
468,003744,12.61630049681785,0.08740401176674858,1750909691.1962643,13238.484850226978,11175.401176422369,-1,59.76953152206281,59.665100824390144,1.4631033544596075,1.514540142393393,73.91636512141403,74.42405985787177,2572679.2819307763,44396672.72142281,-9.832878097419064,-9.595913323096847
468,003648,12.293249598446812,0.11327055511930355,1670431712.3514857,12949.931620942387,10933.12720791048,-1,58.58709126923723,58.73551212928285,1.4859421236178216,1.4815332514421367,73.60218404963327,71.15511996084182,3313583.803983195,31620049.782878704,-9.702530767449113,-9.722866176920888
468,003606,12.151914830406648,0.1248915775850367,1640718915.0089986,12821.621622389837,10825.374003166657,-1,59.64405248878323,59.377557669880105,1.52548227239612,1.4978865968139683,74.10029228715135,70.15289553252569,5064795.461848444,37776558.296002336,-9.510472273504462,-9.637811796704979
468,003552,11.970198700071155,0.14011755621604205,1592973433.1389089,12661.499266173336,10691.700869488355,-1,57.20412865998789,56.16828367146444,1.4912770098221106,1.474576611843329,72.55732875084496,64.98498495723777,3545955.3012529234,29690136.677943762,-9.65247527612769,-9.729596336036074
468,003456,11.647147801692626,0.16801380287283818,1530085708.3531475,12389.204080633459,10460.928802642025,-1,55.05698682952389,54.976581422176956,1.5021469255677933,1.5163747396861502,71.03512567482889,60.030983845338376,4019065.551275055,46762196.6373801,-9.580590669048364,-9.514820854879126
468,003360,11.324096903303657,0.19703539000425044,1419947461.1530619,12104.44397918873,10219.92273589347,-1,57.449224856457235,54.66500660955003,1.5797659117108485,1.5224290314523286,74.89830726896696,69.23600180643899,9364964.056831636,50810978.72442276,-9.180766160670611,-9.446314715142798
468,003264,11.001046004940882,0.2272667263178406,1326694599.8566647,11828.73334049029,9990.299050449457,-1,53.85288137935434,50.74953645658647,1.4858476435516494,1.5112967360876934,69.75274144391537,68.11396685464514,3497198.468129901,45897371.34471874,-9.57905068191784,-9.460983148264237
468,003195,10.768853171744885,0.2497948822517782,1253454838.1556642,11623.089484488253,9820.70142846329,-1,52.04738233250846,49.507586005643816,1.484482177013695,1.5116186339739888,68.47666435580561,70.59216183173312,3495262.4462337564,46725868.046777524,-9.554628900131691,-9.428551312788853
468,003168,10.677995106574823,0.2588017129222396,1222804905.1579998,11540.30103770609,9750.082053889986,-1,56.03255464602437,48.627319156722365,1.5569562328866975,1.518598302795753,72.09402590661632,64.97593643354546,7640033.87210175,50672208.12847138,-9.204261888160662,-9.382587342355118
468,003072,10.354944208208058,0.2917451293848587,1108198783.0899112,11243.678649646594,9496.58586073589,-1,51.596087252367624,47.497262004912145,1.498639875676293,1.5160016547979571,68.37485163782519,67.08639086031073,4197478.5701185055,50571487.16610644,-9.42162918136555,-9.340711943719217
468,002976,10.031893309836548,0.3262142715772225,999198496.8484004,13713.786366176122,11875.882539408536,-1,51.417592648470524,45.61214191094159,1.4979691044182553,1.5089176521229237,67.81832932552165,70.56666142010788,4282766.021465212,48182223.21774173,-9.367927423613551,-9.316764936749536
468,002880,9.708842411466359,0.3623408968454461,902846385.8163704,13414.235579359836,11614.668786456092,-1,50.853923118560616,43.686743508643744,1.4400421549499083,1.46975262198058,65.39638456872623,66.92181071647946,2356340.857642291,32466528.18257302,-9.583375750119457,-9.444178014155094
468,002784,9.385791513094505,0.400273546651462,828083137.8901652,10378.4288382069,8756.280672465778,-1,50.36564484325892,41.15935171962553,1.5051563564035377,1.47210284373023,64.75508365126245,66.96995352228222,4872644.200522427,34084770.7366599,-9.23030924082556,-9.385513564108093
468,002688,9.06274061472311,0.4401803358805654,749264189.9053702,10098.327356691367,8513.505907206865,-1,50.12191519978527,42.86119743700381,1.4272341331444975,1.4849206087778761,62.585951437803196,61.279089288902696,2154278.660505719,40259592.273070686,-9.541333097055333,-9.269765604281517
468,002592,8.739689716354592,0.482252323157586,672753118.2583106,9826.740061177687,8274.348225356778,-1,50.70705622299417,45.43500160721827,1.3976554990991557,1.4448234317166513,62.23056414901255,62.809310635510826,1608010.598517758,26850765.886277154,-9.621566812536933,-9.398899041478431
468,002554,8.611815402418381,0.4995510828004175,645134784.6244143,9720.84724234834,8178.206163638767,-1,51.039531178537985,43.391753915083086,1.4492031785017363,1.4165883621669295,62.269176269866286,63.638100994578004,2849349.203087495,19980785.029947598,-9.354904781353055,-9.509037911654339
468,002496,8.416638817990007,0.5267076099638085,609981329.6893256,9567.058835432439,8042.551626678357,-1,51.38663189651329,44.88072706753635,1.4416109052898243,1.4374361828102349,62.12480923179176,63.43054861001034,2665184.853765797,25466516.575978328,-9.359589205817759,-9.379346998042475
