galaxyID,timestep,t,z,M_star,R_halflight_s,R_halflight_c,R_halfmass,sigma_allstars_global,sigma_allstars_los,sigma_youngstar_global,sigma_youngstar_los,sigma_allgas_global,sigma_allgas_los,sigma_coldgas_global,sigma_coldgas_los,alpha,SFR_10,SFR_100,sSFR_10,sSFR_100
442,004096,13.80082045729774,1.9054579776679125e-11,1501466127.1167982,905.9095827939095,661.3594310276734,2.899169921875,25.78995030943837,15.101186932639806,18.075046202741635,14.828957810629273,24.876737120361053,15.101186932639806,26.66023741197191,18.92372920097952,-0.1423720913087843,2180053.509475731,28802659.14706237,-9.838048385511813,-9.717082954050698
442,004032,13.585453191722797,0.015091542079731653,1426352134.9033,884.8721206061562,648.0483634882371,2.74658203125,25.451396667574887,16.27233227708235,19.158374571712258,16.689778562331135,24.934212349104374,16.27233227708235,26.657793364849958,20.02092765273023,-0.1425455176579052,3825707.965272475,26626231.420273643,-9.57151494132241,-9.728917054157153
442,003936,13.262402293339068,0.03836862117874061,1330602883.0400689,853.677335752933,627.9815013517776,2.899169921875,24.699996464972937,16.382687964508747,20.806311931963613,17.161811425233637,23.37389913956376,16.382687964508747,26.803496486911182,19.61775814768535,-0.15393319570975136,2452885.574826351,22406067.53479035,-9.734371170919806,-9.773682819446275
442,003840,12.939351394979173,0.062455581925002855,1241217080.939009,821.8591469064099,606.896076162644,3.0517578125,25.12872478884107,14.449454131429611,17.499301791590092,14.59421440853704,22.822297483281957,14.449454131429611,24.858975822181126,17.57821093874172,-0.15867989781555228,3319296.408124751,24505074.336296663,-9.572801707494822,-9.704591719186643
442,003744,12.616300496620442,0.08740401178226867,1153274662.8287313,789.5837474921766,585.8153846105761,2.9754638671875,26.022946455091468,15.030184556737321,17.53597794128293,13.69789615730297,27.04999836699895,15.030184556737321,29.489920500475023,20.546019766942447,-0.14521175530085667,2182086.911242371,48839114.92891762,-9.723060706494552,-9.373164965803248
442,003648,12.293249598256287,0.11327055513484088,1058554845.1727971,758.1713078407648,565.1056157160702,2.74658203125,27.76491617618073,16.481123709513106,19.410599355840777,15.598656491876348,28.26864200583582,16.481123709513106,28.79473712653664,21.137247883406957,-0.15896955903136895,5183594.183039486,44224393.86067227,-9.310082370495117,-9.379051475144344
442,003552,11.970198699897278,0.14011755623076835,974117794.6736012,728.3458938725678,545.6222295302063,2.74658203125,26.24754015103244,15.690399983772494,20.48939919735516,16.508387214921374,26.583081061842844,15.690399983772494,28.313263686553785,20.08782554005422,-0.1473020987110193,6897681.011889624,42858909.43788403,-9.14990837064027,-9.356570360832853
442,003456,11.647147801532324,0.1680138028869531,889372299.9276173,698.1873025877867,525.6073475123148,2.74658203125,25.09397329755315,13.662616919640055,17.88305200935963,13.528710564271364,24.07008640603732,13.662616919640055,24.782758884387533,17.78069438140952,-0.15340454367007353,4111166.4208346996,26750654.77499279,-9.335118541479327,-9.5217491822419
442,003360,11.324096903165405,0.19703539001692277,819670284.8093591,668.6343332273348,506.1729818523075,2.899169921875,23.389575342338826,12.728627615798494,17.220159541802662,12.944718895498001,22.443055155647027,12.728627615798494,25.011679759201677,17.521862319585082,-0.1819792179656967,2723216.2564432793,19248293.741458267,-9.47855706009603,-9.629246953399605
442,003264,11.001046004804918,0.22726672633083123,760229074.3122331,640.5107293725539,487.4946778594193,2.74658203125,25.084462142207723,14.460930658729097,17.25483756133668,14.30839278561246,23.57672947463873,14.460930658729097,27.091893185312212,18.964719373767018,-0.15686814243541314,3502515.423166679,19648649.12337574,-9.336564418448631,-9.587611777521621
442,003168,10.677995106433922,0.2588017129362936,702952815.4219662,611.7779224784374,468.08232335551565,2.899169921875,24.788757781179484,14.818090649537467,18.77782228808734,14.4469636445584,21.8330593308259,14.818090649537467,23.468630016377624,16.821410534122514,-0.13070678647627237,1344896.984564297,14546671.942360261,-9.718237154837727,-9.684162529975191
442,003072,10.354944208076999,0.2917451293985244,656141599.3296186,582.8930896501956,448.6337292275913,2.6702880859375,25.558536680765837,14.793658719284505,16.776783913874592,14.44563605199902,24.770344993276222,14.793658719284505,27.198041456667536,19.152073813714154,-0.147458265346768,1790667.4132727366,17585066.011511013,-9.563982642515644,-9.571853569941005
442,002976,10.031893309715747,0.32621427159041294,617843949.2051153,553.92521558138,428.7968047094653,2.6702880859375,24.698611074791703,13.754722785870854,15.726495699867288,12.964168506436973,23.29272024419937,13.754722785870854,25.47369955129427,18.19280459380768,-0.1451038363686256,1021849.8744870848,14092571.654281043,-9.78149170188702,-9.641888546125337
442,002880,9.708842411352816,0.3623408968584517,579946974.8671784,525.9664610612074,409.06402239276065,2.74658203125,25.3129450021742,13.522365320485925,15.512232238092867,13.621583924098132,23.83091269082806,13.522365320485925,28.532975356899964,20.41627852947762,-0.15879783687836985,1072059.4909703995,15827478.24872482,-9.733169401404453,-9.56397656204384
