galaxyID,timestep,t,z,M_star,R_halflight_s,R_halflight_c,R_halfmass,sigma_allstars_global,sigma_allstars_los,sigma_youngstar_global,sigma_youngstar_los,sigma_allgas_global,sigma_allgas_los,sigma_coldgas_global,sigma_coldgas_los,sigma_hotgas_global,sigma_hotgas_los,sigma_gasNearYS_global,sigma_gasNearYS_los,alpha,SFR_10,SFR_100,sSFR_10,sSFR_100
597,004096,13.800820457585045,-8.579114135158364e-13,549412907.9912978,4642.835980302378,2314.662412575086,2.899169921875,22.86142184966603,12.267396298806284,15.994662902349184,13.161639951567842,21.10944508598597,12.267396298806284,21.171177953921823,16.154639508035928,14.739631233285444,15.80515608061647,31.405849282072026,13.92548211466924,-0.10191567577976393,854034.884889352,6593778.37658652,-9.808423247843402,-9.920764512600389
597,004032,13.585453191809902,0.015091542073559873,537104389.8034084,4546.392090083113,2264.295834337662,2.74658203125,22.525958269398192,13.694904309668445,15.91308782875216,12.699299311317823,22.128433317277256,13.694904309668445,21.70073324311638,15.859858395308887,15.18850219866446,15.624419825702963,14.900574794703868,12.552069403837134,-0.110136634504293,807960.1623624093,6823315.2699441435,-9.822668754130044,-9.896063263683727
597,003936,13.262402293171936,0.038368621190988036,520322191.7089893,4403.872231247348,2189.9200027844977,2.74658203125,22.501240809896313,12.059038452973677,13.77443876897782,12.125758055790426,21.925679878694215,12.059038452973677,19.757618920973286,16.101903506923954,15.380693070752287,15.123536402266371,31.735840999167635,13.669556222106355,-0.12018363826817662,801254.7749931193,5615864.34657878,-9.812501718256945,-9.966855740229862
597,003840,12.939351394518457,0.06245558195995533,504290408.8001121,4263.311534654557,2116.9250240306865,2.6702880859375,23.21187434731509,11.813023610980398,15.634531493587511,11.690086658301503,21.859459682722758,11.813023610980398,21.902940005644297,16.05140814697959,15.514616177571988,15.89014614700322,29.07056225843637,13.178549730647543,-0.10442289656204028,508821.09103946737,6063393.518878116,-9.996115603438664,-9.919964953110508
597,003744,12.61630049587551,0.08740401184083346,488209243.8021845,4123.747774594384,2044.3133776066263,2.74658203125,22.792492342024723,12.037219614056463,14.235548445089682,13.74446672502155,22.507333291155437,12.037219614056463,21.664120320523523,16.792146910175266,15.415983186220442,16.37282155121637,27.003456228132237,12.644575278586478,-0.11118668783951799,706855.295548699,6934110.397999557,-9.839275482182522,-9.847615246354145
597,003648,12.293249597232835,0.11327055521830666,473596118.28196746,3986.106127547442,1972.0985454025356,2.593994140625,22.69300957470422,13.814744777973488,16.691560542404186,13.550244422624104,23.364493921632956,13.814744777973488,22.76589220076736,16.505860897935655,15.63492917615812,17.010358193979783,18.87511681914009,12.621902634893843,-0.12833909276825986,735759.9486711142,5927589.043858034,-9.808671990958876,-9.902530047495183
597,003552,11.97019869857019,0.14011755634316064,458518753.42227924,3850.140407011675,1901.5670302016147,2.593994140625,22.900686299649916,12.47110145876249,15.792330526905303,12.850068944256964,23.035470496215567,12.47110145876249,21.708779581061943,15.683788088596078,15.14079349232382,16.100214438884297,20.187730739429682,13.839623911170335,-0.10961733575791413,776929.2632009604,4454172.603984131,-9.770975623471156,-10.012590060615715
597,003456,11.647147799924955,0.16801380302848604,444848058.9375986,3715.4558038858763,1832.18448124542,2.593994140625,22.421856842434142,11.67717114129042,11.587553746581857,10.265418347522981,22.17637142947201,11.67717114129042,23.40163702090442,17.33871685585857,15.023451413254,17.392684526644064,0.0,12.829429021184595,-0.10671778874364896,618954.3725145998,4064590.5813411404,-9.856553064600217,-10.039194893439054
597,003360,11.32409690127159,0.19703539019051458,430806960.472986,3583.029373518675,1763.9605487043932,2.44140625,23.237889986079633,11.57903506366382,13.621195396829151,10.458150440241642,22.557791793533756,11.57903506366382,20.281638670470063,15.093290847991128,15.238085250811304,15.068730325115755,27.80107730400626,13.009740767256591,-0.11980434400844293,506080.9875965441,3112467.2607839843,-9.93006268942233,-10.141177919603319
597,003264,11.00104600263365,0.2272667265382902,419527897.59654456,3451.972273581683,1696.933159147697,2.593994140625,22.010991117688032,10.41770931853269,11.75784551458625,11.769649720200881,21.719601057355064,10.41770931853269,21.03019632029419,15.561255954338886,14.879110582233395,15.11166116299487,nan,12.515318424173365,-0.12867253385561017,250796.19991492273,1920435.6100950886,-10.22343989392179,-10.339361095292167
