galaxyID,timestep,t,z,M_star,R_halflight_s,R_halflight_c,R_halfmass,sigma_allstars_global,sigma_allstars_los,sigma_youngstar_global,sigma_youngstar_los,sigma_allgas_global,sigma_allgas_los,sigma_coldgas_global,sigma_coldgas_los,sigma_hotgas_global,sigma_hotgas_los,sigma_gasNearYS_global,sigma_gasNearYS_los,alpha,SFR_10,SFR_100,sSFR_10,sSFR_100
569,004096,13.800820457683809,-7.702847658817838e-12,476562318.7004482,6016.977806522218,4646.361867988095,3.509521484375,21.17392469324456,11.818605540444699,13.057607373228992,11.395320240701656,19.719709839912568,11.818605540444699,19.502646028081887,14.372556691570804,15.104712702340013,14.814451176437384,4.939700281185693,12.691509077806774,-0.04799440117191997,690502.124650815,6274234.786924205,-9.838954680917825,-9.880558933827952
569,004032,13.585453179563535,0.015091542941216566,464623159.5751423,5854.363875308631,4509.6459942709425,3.509521484375,21.616275643784114,13.169411562833695,15.959658312386615,12.47484672546644,21.02142314799182,13.169411562833695,21.47504365670337,15.37933621426944,15.370491894171664,16.094385612557414,32.214738235903404,12.66172987576881,-0.038595737794733305,845910.6799021624,7540548.484306459,-9.739776345711883,-9.789697917093202
569,003936,13.262402262363782,0.03836862344867113,447710000.392752,5616.292139358719,4309.521269077475,3.509521484375,21.287811918510638,12.831811371660383,13.78549788096591,13.841126634753994,19.797534957343874,12.831811371660383,19.816015792090994,15.635733558048097,14.38702464740917,15.299707542966882,0.0,11.691242984631238,-0.05446682780603599,665757.5031607072,5871975.950033363,-9.827680725539853,-9.882212527062006
569,003840,12.939351345169856,0.06245558570385428,431739412.8695428,5384.504006876279,4115.406571971283,3.662109375,21.40111174517854,13.906923349255518,16.664686750124257,14.51706577004811,19.550749814376967,13.906923349255518,20.02481210831444,14.57645797799741,14.121622395908526,14.936462632218324,13.832643051310693,11.773907210893412,-0.04317633302332833,589993.8171915847,5635099.078518508,-9.864374236083744,-9.884320140199224
569,003744,12.61630042797699,0.08740401717887453,417288379.54305667,5160.030417784791,3928.219440210718,3.814697265625,21.277168676915284,10.562830520508367,13.407133377792631,10.889179782754425,18.54838756712089,10.562830520508367,18.864344745051948,14.166040279761337,14.2521405164425,14.618215766388818,7.478803174788911,11.145355617894555,-0.0409901931468124,464733.16033129557,4136621.801326967,-9.953232628835003,-10.003790474349964
569,003648,12.293249510771913,0.11327056226948234,400984535.3724663,4941.268921271672,3745.818167522542,3.509521484375,21.49155793370394,10.53458536668953,13.491891877589742,11.26370012553172,18.87517881672942,10.53458536668953,18.730465214910627,14.756391611982206,13.997655001573175,15.044346277033519,2.5174685371386474,10.892936221958376,-0.05959311881099975,545962.8525184477,4171305.882472479,-9.865964529483861,-9.982855585771151
569,003552,11.970198593571544,0.1401175652356265,387437438.7123515,4729.132981190702,3569.606286961196,3.509521484375,21.380488340283865,12.551474526294488,16.42455786661228,12.287073715374596,19.08297598001641,12.551474526294488,19.54340289418925,14.520419150103626,14.144231843426063,14.103553967320728,1.8102126455000835,11.700598165440658,-0.0704241894713765,616340.2426228708,4088953.70323181,-9.798381060006552,-9.976589391669359
569,003456,11.647147676365996,0.16801381390821513,374454969.0393639,4522.655498299409,3398.6107857288616,3.509521484375,21.309253022209486,11.445974663998843,13.195356157402022,10.691620346197011,20.292135833963165,11.445974663998843,21.464682917857804,15.021267560591628,14.483948165093551,15.748338022268804,27.72351439352296,10.900359344405661,-0.06848500273924973,669501.6803356179,4668289.935715935,-9.747647926719107,-9.904241776927869
569,003360,11.32409675919063,0.19703540321400684,363444559.800541,4322.159203732708,3233.602869567234,3.2806396484375,22.31526130833836,13.184277237284302,17.32345729627008,11.968979972947082,22.091833543580734,13.184277237284302,23.950425609956202,17.152397482763824,15.878052359364963,17.194559915961136,13.135823165686974,12.312600258930047,-0.06016468527694663,994057.4203318061,6370481.692206148,-9.563026700996174,-9.756265900577327
569,003264,11.001045841985588,0.2272667418877862,353236611.2357079,4124.795723684524,3070.722390539968,3.2806396484375,22.16961241925198,13.541511390781697,18.46150754375997,13.616957417808102,22.634028604502863,13.541511390781697,31.343488102483253,21.04944077357265,16.900664032100316,21.39132236722133,24.130905560286664,13.173023632997932,-0.06789028462210571,1265947.623759993,8334754.726713961,-9.445649971800696,-9.627172885691484
569,003168,10.677994924782539,0.2588017310540098,340215242.59552073,3934.3451289531704,2915.413683337467,3.204345703125,22.78302659337293,11.304563775667491,13.595518261513313,11.335064825450218,21.78784060050225,11.304563775667491,24.966070161547265,17.90514692895163,16.324790055784216,17.708696542996126,34.43698819301201,11.751604217076471,-0.057861139245143016,848611.0369966528,7248235.512532484,-9.603045091439657,-9.67152147115538
